E_L93	N_L93	nb_m2	g_m2	Nb_0.25m2	g_0.25m2	Points	Annee
376242.387	6404828.545	32	233.67635438597	16	116.838177192985	C_3	2003
376894.785	6406444.645	6	34	3	17,0	C_30	2003
375960.478	6405770.05	2	13.6	1	6.8	C_31	2003
378211.916	6404541.465	32	187	16	93.5	C_32	2003
376491.907	6404537.558	62	443.619665414722	31	221.809832707361	C_33	2003
375985.901	6405750.193	2	0.8	1	0.4	C_34	2003
375125.307	6405479.724	30	221.4	15	110.7	C_35	2003
378004.619	6404626.291	0	0	0	0,0	C_36	2003
375858.087	6405070.918	12	83.4	6	41.7	C_37	2003
376382.321	6404209.549	14	152.8	7	76.4	C_38	2003
377251.611	6404646.588	2	24.2	1	12.1	C_39	2003
377632.023	6404070.827	8	50.04	4	25.02	C_4	2003
375618.934	6405305.781	6	64.2	3	32.1	C_40	2003
375454.864	6405203.071	6	56	3	28,0	C_41	2003
375745.576	6405707.044	0	0	0	0,0	C_42	2003
377372.667	6406735.093	0	0	0	0,0	C_43	2003
377423.007	6405916.84	0	0	0	0,0	C_44	2003
376017.031	6406860.849	0	0	0	0,0	C_45	2003
376754.475	6406544.591	0	0	0	0,0	C_46	2003
377422.672	6405397.803	0	0	0	0,0	C_47	2003
378276.808	6404260.061	0	0	0	0,0	C_48	2003
376696.128	6404137.698	18	132.6	9	66.3	C_49	2003
377935.511	6404055.185	50	347	25	173.5	C_5	2003
375566.407	6405568.038	0	0	0	0,0	C_50	2003
377826.574	6404765.228	0	0	0	0,0	C_51	2003
378252.195	6404038.877	0	0	0	0,0	C_6	2003
378564.966	6403689.111	12	112.8	6	56.4	C_7	2003
378249.341	6403983.411	0	0	0	0,0	C_8	2003
377354.016	6405605.261	20	157	10	78.5	C_9	2003
377240.442	6403405.134	4	56	2	28,0	D_1	2003
379403.67	6403015.771	4	61.32	2	30.66	D_10	2003
378807.99	6403268.794	4	29.56	2	14.78	D_11	2003
374700.271	6403666.555	0	0	0	0,0	D_12	2003
373940.751	6403057.278	0	0	0	0,0	D_13	2003
375052.209	6403055.033	0	0	0	0,0	D_14	2003
376163.657	6403052.982	0	0	0	0,0	D_15	2003
374422.761	6404181.532	0	0	0	0,0	D_16	2003
374363.064	6403035.271	18	188.2	9	94.1	D_18	2003
373663.298	6402812.216	0	0	0	0,0	D_19	2003
377034.072	6403508.481	4	8.4	2	4.2	D_2	2003
374546.864	6403007.163	2	26.06	1	13.03	D_20	2003
375429.41	6403183.745	2	8.6	1	4.3	D_21	2003
373893.446	6402911.439	4	61.8	2	30.9	D_22	2003
377962.309	6403034.231	0	0	0	0,0	D_23	2003
375255.963	6404175.271	2	0.156	1	0.078	D_24	2003
375793.4	6403313.164	0	0	0	0,0	D_26	2003
376317.796	6402451.784	0	0	0	0,0	D_27	2003
376353.961	6402894.824	2	21	1	10.5	D_28	2003
376951.676	6402938.065	4	61	2	30.5	D_29	2003
377548.426	6402962.874	0	0	0	0,0	D_30	2003
374552.506	6403878.166	0	0	0	0,0	D_31	2003
374510.313	6404084.282	12	67.4	6	33.7	D_32	2003
374467.159	6404271.911	0	0	0	0,0	D_33	2003
375781.672	6402831.783	8	73.4	4	36.7	D_34	2003
373856.747	6402968.968	0	0	0	0,0	D_35	2003
374632.093	6403373.492	2	21.82	1	10.91	D_36	2003
374094.3	6402956.582	0	0	0	0,0	D_37	2003
377212.764	6402868.967	26	184.4	13	92.2	D_38	2003
375667.187	6403430.939	0	0	0	0,0	D_39	2003
373989.685	6402980.573	2	0.22	1	0.11	D_4	2003
377409.619	6402580.74	4	37.4	2	18.7	D_5	2003
378292.123	6402757.725	0	0	0	0,0	D_6	2003
379173.623	6402916.346	0	0	0	0,0	D_7	2003
376630.737	6402361.441	2	16.52	1	8.26	D_8	2003
374294.636	6408322.205	0	0	0	0,0	E_1	2003
375028.971	6409729.916	8	85.36	4	42.68	E_10	2003
374316.15	6408988.45	0	0	0	0,0	E_11	2003
374276.256	6409491.056	2	5.6	1	2.8	E_12	2003
374703.91	6409579.996	80	713.664536355874	40	356.832268177937	E_13	2003
374811.684	6409110.938	2	19.1	1	9.55	E_14	2003
374814.862	6409425.916	50	479.92	25	239.96	E_15	2003
374304.239	6409267.141	30	242.842642248533	15	121.421321124267	E_16	2003
374966.851	6408027.665	0	0	0	0,0	E_17	2003
375059.845	6407781.835	36	310.52	18	155.26	E_18	2003
373912.249	6409102.211	0	0	0	0,0	E_19	2003
374501.038	6409238.345	0	0	0	0,0	E_2	2003
374465.34	6409314.357	20	161.840943310141	10	80.9204716550706	E_20	2003
375153.808	6407554.495	2	17.2511111111111	1	8.62555555555556	E_3	2003
374570.512	6409049.346	4	40.04	2	20.02	E_4	2003
374017.083	6409337.734	2	16.08	1	8.04	E_5	2003
374119.344	6409017.252	0	0	0	0,0	E_6	2003
374537.039	6409421.848	2	16.1840943310141	1	8.09204716550706	E_7	2003
374795.233	6409556.703	234	763.058971007871	117	381.529485503935	E_8	2003
374028.016	6409040.556	2	20.54	1	10.27	E_9	2003
368468.166	6409407.321	2	25.4	0.5	6.35	F_1	2003
369525.738	6408405.804	20	255.056946862398	5	63.7642367155994	F_10	2003
370050.237	6409323.551	0	0	0	0,0	F_11	2003
369857.834	6408684.864	2	17	0.5	4.25	F_12	2003
369541.93	6409461.654	6	63	1.5	15.75	F_13	2003
367795.391	6409684.071	0	0	0	0,0	F_14	2003
369764.576	6409171.8	38	312.72851187015	9.5	78.1821279675376	F_15	2003
369973.083	6408864.162	6	46.8	1.5	11.7	F_16	2003
367794.407	6409665.584	2	20	0.5	5,0	F_17	2003
370067.331	6408896.261	84	528.878728290611	21	132.219682072653	F_18	2003
370277.315	6408866.635	6	62.6	1.5	15.65	F_19	2003
370482.384	6409245.124	2	3.6	0.5	0.9	F_2	2003
370486.324	6408818.529	12	85.6	3	21.4	F_20	2003
369735.722	6407875.616	2	28.6	0.5	7.15	F_21	2003
368179.67	6409700.722	16	254.560624549254	4	63.6401561373134	F_22	2003
369926.204	6408977.87	12	62.2	3	15.55	F_23	2003
370519.053	6408687.033	16	173	4	43.25	F_24	2003
369431.441	6407873.169	2	9.4	0.5	2.35	F_25	2003
368433.095	6409742.881	18	179.838239313314	4.5	44.9595598283284	F_26	2003
369535.458	6407589.584	10	77.74	2.5	19.435	F_27	2003
369152.82	6409853.026	2	29.4	0.5	7.35	F_28	2003
368645.987	6409768.661	10	124.8	2.5	31.2	F_29	2003
368706.564	6409913.758	4	52.2	1	13.05	F_3	2003
367858.358	6409625.106	0	0	0	0,0	F_30	2003
370769.057	6408914.854	2	26.6	0.5	6.65	F_31	2003
369881.273	6408628.011	0	0	0	0,0	F_4	2003
370594.217	6409109.456	0	0	0	0,0	F_5	2003
367842.225	6409570.347	0	0	0	0,0	F_6	2003
368861.279	6409590.395	12	124.4	3	31.1	F_7	2003
369584.321	6408013.392	6	47	1.5	11.75	F_8	2003
369554.54	6408200.355	0	0	0	0,0	F_9	2003
371770.45	6411364.826	104	496.2	26	124.05	G_1	2003
371662.639	6411073.882	52	302.162663203442	13	75.5406658008604	G_2	2003
371009.925	6411479.001	0	0	0	0,0	G_3	2003
371734.372	6411181.34	44	332.09251558123	11	83.0231288953076	G_4	2003
371875.467	6411099.772	18	109.8	4.5	27.45	G_5	2003
371854.26	6411953.644	4	40.6	1	10.15	G_6	2003
370936.695	6411594.091	52	509.264941432751	13	127.316235358188	G_7	2003
371559.574	6411375.914	20	162.6	5	40.65	G_8	2003
370844.44	6411598.953	2	26.8	0.5	6.7	G_9	2003
373047.548	6411019.758	0	0	0	0,0	H_1	2003
